Swaziland,15317,,,
Turks and Caicos Islands,4762,,,
Chad,10565,,,
French Southern Territories,19200,,,
Togo,10251,,,
Thailand,11612,,,
Tajikistan,9450,,,
Tokelau,9399,,,
East Timor,13100,,,
Turkmenistan,9357,,,
Tunisia,8325,,,
Tonga,10726,,,
Turkey,8838,,,
Trinidad and Tobago,6370,,,
Tuvalu,9783,,,
Tanzania,13521,,,
Ukraine,7745,,,
Uganda,12617,,,
United States Minor Outlying Islands,8055,,,
United States,2262,,,
Uruguay,10954,,,
Uzbekistan,9139,,,
Vatican,7697,,,
Saint Vincent and the Grenadines,6121,,,
Venezuela,6534,,,
British Virgin Islands,5440,,,
U.S. Virgin Islands,5435,,,
Vietnam,11573,,,
Vanuatu,11220,,,
Wallis and Futuna,10237,,,
Samoa,9850,,,
Yemen,11706,,,
Mayotte,14616,,,
South Africa,15184,,,
Zambia,13848,,,
Zimbabwe,14485,,,
Netherlands Antilles,5874,,,
Belize,4584,,,
Djibouti,11929,,,
Georgia,8704,,,
Guadeloupe,5810,,,
Guatemala,4690,,,
Saint Lucia,6068,,,
Luxembourg,6695,,,
Martinique,5995,,,
Mexico,3627,,,
Niger,9807,,,
Panama,5743,,,
Reunion,15844,,,
Saint Helena,12132,,,
San Marino,7505,,,
Taiwan,10086,,,
